#TradeId,ResultId,ResultType,ResultValue
6:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-10-17,double,0.159284
6:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-10-18,double,0.159344
6:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-10-19,double,0.159401
6:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-10-20,double,0.159458
6:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-10-23,double,0.159925
6:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-10-24,double,0.160072
6:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-10-25,double,0.160216
6:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-10-26,double,0.160356
6:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-10-27,double,0.160492
6:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-10-30,double,0.160881
6:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-10-31,double,0.161005
6:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-11-01,double,0.161125
6:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-11-02,double,0.161242
6:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-11-03,double,0.161357
6:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-11-06,double,0.161686
6:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-11-07,double,0.161791
6:EquityBarrierOption,CurrentNotional,double,4350000.000000
6:EquityBarrierOption,cashFlowResults[0],cashflows,
6:EquityBarrierOption,instMultiplier,double,1.000000
6:EquityBarrierOption,notionalCurrency,string,EUR
7:EquityBarrierOption,isdaAssetClass,string,Equity
7:EquityBarrierOption,isdaBaseProduct,string,Other
7:EquityBarrierOption,isdaSubProduct,string,
7:EquityBarrierOption,isdaTransaction,string,
7:EquityBarrierOption,Active,double,0.921600
7:EquityBarrierOption,BlackScholes.CalibrationStrike_EQ-RIC:.STOXX50E,string,4350.000000
7:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-08-07,double,4337.500000
7:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-08-08,double,4337.940136
7:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-08-09,double,4338.379869
7:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-08-10,double,4338.819647
7:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-08-11,double,4339.259470
7:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-08-14,double,4340.579205
7:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-08-15,double,4341.019206
7:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-08-16,double,4341.459251
7:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-08-17,double,4341.899343
7:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-08-18,double,4342.339479
7:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-08-21,double,4343.660154
7:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-08-22,double,4344.100469
7:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-08-23,double,4344.540828
7:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-08-24,double,4344.981232
7:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-08-25,double,4345.421681
7:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-08-28,double,4346.743297
7:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-08-29,double,4347.183925
7:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-08-30,double,4347.624597
7:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-08-31,double,4348.065457
7:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-09-01,double,4348.506362
7:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-09-04,double,4349.829344
7:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-09-05,double,4350.270428
7:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-09-06,double,4350.711556
7:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-09-07,double,4351.152729
7:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-09-08,double,4351.593947
7:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-09-11,double,4352.917869
7:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-09-12,double,4353.367174
7:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-09-13,double,4353.816526
7:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-09-14,double,4354.265924
7:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-09-15,double,4354.715368
7:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-09-18,double,4356.063980
7:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-09-19,double,4356.513610
7:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-09-20,double,4356.963286
7:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-09-21,double,4357.413009
7:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-09-22,double,4357.862779
7:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-09-25,double,4359.212365
7:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-09-26,double,4359.662320
7:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-09-27,double,4360.112321
7:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-09-28,double,4360.562369
7:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-09-29,double,4361.012464
7:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-10-02,double,4362.363026
7:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-10-03,double,4362.813306
7:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-10-04,double,4363.263632
7:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-10-05,double,4363.714006
7:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-10-06,double,4364.164425
7:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-10-09,double,4365.515963
7:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-10-10,double,4365.966569
7:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-10-11,double,4366.423314
7:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-10-12,double,4366.880107
7:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-10-13,double,4367.336947
7:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-10-16,double,4368.707755
7:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-10-17,double,4369.164787
7:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-10-18,double,4369.621867
7:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-10-19,double,4370.078994
7:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-10-20,double,4370.536169
7:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-10-23,double,4371.907982
7:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-10-24,double,4372.365348
7:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-10-25,double,4372.822762
7:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-10-26,double,4373.280225
7:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-10-27,double,4373.737735
7:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-10-30,double,4375.110552
7:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-10-31,double,4375.568254
7:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-11-01,double,4376.026003
7:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-11-02,double,4376.483800
7:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-11-03,double,4376.941646
7:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-11-06,double,4378.315469
7:EquityBarrierOption,BlackScholes.Forward_EQ-RIC:.STOXX50E_2023-11-07,double,4378.773505
7:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-08-08,double,0.166080
7:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-08-09,double,0.166080
7:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-08-10,double,0.166080
7:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-08-11,double,0.166080
7:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-08-14,double,0.166080
7:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-08-15,double,0.166080
7:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-08-16,double,0.166080
7:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-08-17,double,0.166080
7:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-08-18,double,0.166080
7:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-08-21,double,0.163060
7:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-08-22,double,0.162313
7:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-08-23,double,0.161656
7:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-08-24,double,0.161075
7:EquityBarrierOption,BlackScholes.Volatility_EQ-RIC:.STOXX50E_2023-08-25,double,0.160556
