#TradeId,Scenario Label,Up/Down,Base NPV,Scenario NPV,Sensitivity
CC_SWAP_EUR_USD,DISCOUNT/EUR/4/5Y,Down,-21226633.935174,-21228519.192235,-1885.257061
CC_SWAP_EUR_USD,DISCOUNT/EUR/5/7Y,Down,-21226633.935174,-21230804.820888,-4170.885714
CC_SWAP_EUR_USD,DISCOUNT/EUR/6/10Y,Down,-21226633.935174,-21316122.420751,-89488.485577
CC_SWAP_EUR_USD,DISCOUNT/USD/0/6M,Down,-21226633.935174,-21226614.817158,19.118016
CC_SWAP_EUR_USD,DISCOUNT/USD/1/1Y,Down,-21226633.935174,-21226576.785007,57.150167
CC_SWAP_EUR_USD,DISCOUNT/USD/2/2Y,Down,-21226633.935174,-21226501.960615,131.974558
CC_SWAP_EUR_USD,DISCOUNT/USD/3/3Y,Down,-21226633.935174,-21226147.174809,486.760365
CC_SWAP_EUR_USD,DISCOUNT/USD/4/5Y,Down,-21226633.935174,-21225323.561262,1310.373912
CC_SWAP_EUR_USD,DISCOUNT/USD/5/7Y,Down,-21226633.935174,-21223955.647077,2678.288097
CC_SWAP_EUR_USD,DISCOUNT/USD/6/10Y,Down,-21226633.935174,-21153053.629520,73580.305654
