#Portfolio,RiskClass,RiskType,PLDate1,PLDate2,PLAmount
All,InterestRate,All,2017-03-29,2017-04-12,-16904.152321
All,InterestRate,All,2017-03-30,2017-04-13,1728.197495
All,InterestRate,All,2017-04-04,2017-04-18,-34705.123532
All,InterestRate,All,2017-04-05,2017-04-19,-33014.886343
All,InterestRate,All,2017-04-06,2017-04-20,-65249.236725
All,InterestRate,All,2017-04-07,2017-04-21,-48802.975183
All,InterestRate,All,2017-04-10,2017-04-24,291.854948
All,InterestRate,All,2017-04-11,2017-04-25,9480.379478
All,InterestRate,All,2017-04-12,2017-04-26,8597.669236
All,InterestRate,All,2017-04-13,2017-04-27,-16660.355002
All,InterestRate,All,2017-04-18,2017-05-02,14883.850546
All,InterestRate,All,2017-04-19,2017-05-03,2958.348829
All,InterestRate,All,2017-04-20,2017-05-04,15398.247283
All,InterestRate,All,2017-04-21,2017-05-05,20236.723348
All,InterestRate,All,2017-04-24,2017-05-08,-17740.267155
All,InterestRate,All,2017-04-25,2017-05-09,-20281.313673
All,InterestRate,All,2017-04-26,2017-05-10,-21605.011765
All,InterestRate,All,2017-04-27,2017-05-11,-11443.033421
All,InterestRate,All,2017-04-28,2017-05-12,-13674.672486
All,InterestRate,All,2017-05-02,2017-05-16,-28929.765243
All,InterestRate,All,2017-05-03,2017-05-17,-39074.055333
All,InterestRate,All,2017-05-04,2017-05-18,-70171.082844
All,InterestRate,All,2017-05-05,2017-05-19,-11238.511371
All,InterestRate,All,2017-05-08,2017-05-22,-26390.111232
All,InterestRate,All,2017-05-09,2017-05-23,-52318.729209
All,InterestRate,All,2017-05-10,2017-05-24,-9861.444005
All,InterestRate,All,2017-05-11,2017-05-25,6634.231410
All,InterestRate,All,2017-05-12,2017-05-26,-7001.363517
All,InterestRate,All,2017-05-15,2017-05-30,-10944.550596
All,InterestRate,All,2017-05-16,2017-05-31,-13690.078665
All,InterestRate,All,2017-05-17,2017-06-01,32291.537567
All,InterestRate,All,2017-05-18,2017-06-02,31725.133635
All,InterestRate,All,2017-05-19,2017-06-05,-25122.023214
All,InterestRate,All,2017-05-22,2017-06-06,-9630.336617
All,InterestRate,All,2017-05-23,2017-06-07,14334.735657
All,InterestRate,All,2017-05-24,2017-06-08,1738.039379
All,InterestRate,All,2017-05-25,2017-06-09,-27004.154953
All,InterestRate,All,2017-05-26,2017-06-12,-4834.006411
All,InterestRate,All,2017-05-30,2017-06-13,3455.817203
All,InterestRate,All,2017-05-31,2017-06-14,5974.690896
All,InterestRate,All,2017-06-01,2017-06-15,-33761.517368
All,InterestRate,All,2017-06-02,2017-06-16,20288.073171
All,InterestRate,All,2017-06-05,2017-06-19,35412.395442
All,InterestRate,All,2017-06-06,2017-06-20,37876.929812
All,InterestRate,All,2017-06-07,2017-06-21,37268.542952
All,InterestRate,All,2017-06-08,2017-06-22,30182.238380
All,InterestRate,All,2017-06-09,2017-06-23,23314.129517
All,InterestRate,All,2017-06-12,2017-06-26,4029.738453
All,InterestRate,All,2017-06-13,2017-06-27,5927.335943
All,InterestRate,All,2017-06-14,2017-06-28,15456.652542
All,InterestRate,All,2017-06-15,2017-06-29,20150.634289
All,InterestRate,All,2017-06-16,2017-06-30,1632.335755
All,InterestRate,All,2017-06-19,2017-07-03,4372.550320
All,InterestRate,All,2017-06-20,2017-07-05,7156.060384
All,InterestRate,All,2017-06-21,2017-07-06,2884.252022
All,InterestRate,All,2017-06-22,2017-07-07,10098.662055
All,InterestRate,All,2017-06-23,2017-07-10,27253.303327
All,InterestRate,All,2017-06-26,2017-07-11,39600.387397
All,InterestRate,All,2017-06-27,2017-07-12,50814.833934
All,InterestRate,All,2017-06-28,2017-07-13,43814.917947
All,InterestRate,All,2017-06-29,2017-07-14,22232.852726
All,InterestRate,All,2017-06-30,2017-07-17,28196.405117
All,InterestRate,All,2017-07-03,2017-07-18,32665.234360
All,InterestRate,All,2017-07-05,2017-07-19,33207.204822
All,InterestRate,All,2017-07-06,2017-07-20,35268.926702
All,InterestRate,All,2017-07-07,2017-07-21,9322.958728
All,InterestRate,All,2017-07-10,2017-07-24,12173.184524
All,InterestRate,All,2017-07-11,2017-07-25,13868.230201
All,InterestRate,All,2017-07-12,2017-07-26,-4448.909830
All,InterestRate,All,2017-07-13,2017-07-27,-18543.164148
All,InterestRate,All,2017-07-14,2017-07-28,9643.917833
All,InterestRate,All,2017-07-17,2017-07-31,-8832.127200
All,InterestRate,All,2017-07-18,2017-08-01,3980.424952
All,InterestRate,All,2017-07-19,2017-08-02,-7527.433896
All,InterestRate,All,2017-07-20,2017-08-03,-16762.401049
All,InterestRate,All,2017-07-21,2017-08-04,-8265.194412
All,InterestRate,All,2017-07-24,2017-08-07,-29487.000629
All,InterestRate,All,2017-07-25,2017-08-08,-6137.009899
All,InterestRate,All,2017-07-26,2017-08-09,-27983.062682
All,InterestRate,All,2017-07-27,2017-08-10,-32486.685777
All,InterestRate,All,2017-07-28,2017-08-11,-46421.937058
All,InterestRate,All,2017-07-31,2017-08-14,-25884.190084
All,InterestRate,All,2017-08-01,2017-08-15,-47732.319403
All,InterestRate,All,2017-08-02,2017-08-16,-26597.667727
All,InterestRate,All,2017-08-03,2017-08-17,-8495.802511
All,InterestRate,All,2017-08-04,2017-08-18,-33183.718932
All,InterestRate,All,2017-08-07,2017-08-21,15058.263966
All,InterestRate,All,2017-08-08,2017-08-22,-12102.328973
All,InterestRate,All,2017-08-09,2017-08-23,13624.316418
All,InterestRate,All,2017-08-10,2017-08-24,20793.329453
All,InterestRate,All,2017-08-11,2017-08-25,7941.813823
All,InterestRate,All,2017-08-15,2017-08-29,-15769.481999
All,InterestRate,All,2017-08-16,2017-08-30,-52916.178454
All,InterestRate,All,2017-08-17,2017-08-31,-59393.925936
All,InterestRate,All,2017-08-18,2017-09-01,-17791.168943
All,InterestRate,All,2017-08-21,2017-09-05,-71165.618103
All,InterestRate,All,2017-08-22,2017-09-06,-52414.422779
All,InterestRate,All,2017-08-23,2017-09-07,-55854.287024
All,InterestRate,All,2017-08-24,2017-09-08,-43886.746085
All,InterestRate,All,2017-08-25,2017-09-11,-19619.234994
All,InterestRate,All,2017-08-29,2017-09-13,-6611.709742
All,InterestRate,All,2017-08-30,2017-09-14,33207.153643
All,InterestRate,All,2017-08-31,2017-09-15,42386.540942
All,InterestRate,All,2017-09-01,2017-09-18,14189.720273
All,InterestRate,All,2017-09-05,2017-09-19,40234.285756
All,InterestRate,All,2017-09-06,2017-09-20,22923.048176
All,InterestRate,All,2017-09-07,2017-09-21,16243.049017
All,InterestRate,All,2017-09-08,2017-09-22,11303.902331
All,InterestRate,All,2017-09-11,2017-09-25,6707.350411
All,InterestRate,All,2017-09-12,2017-09-26,-1422.101909
All,InterestRate,All,2017-09-13,2017-09-27,10895.361419
All,InterestRate,All,2017-09-14,2017-09-28,-11829.077917
All,InterestRate,All,2017-09-15,2017-09-29,-14115.653152
All,InterestRate,All,2017-09-18,2017-10-02,160.486621
All,InterestRate,All,2017-09-19,2017-10-03,12890.648372
All,InterestRate,All,2017-09-20,2017-10-04,30082.700390
All,InterestRate,All,2017-09-21,2017-10-05,34798.681229
All,InterestRate,All,2017-09-22,2017-10-06,14335.622364
All,InterestRate,All,2017-09-25,2017-10-10,44285.964882
All,InterestRate,All,2017-09-26,2017-10-11,31733.138887
All,InterestRate,All,2017-09-27,2017-10-12,12037.320927
All,InterestRate,All,2017-09-28,2017-10-13,19908.174979
All,InterestRate,All,2017-09-29,2017-10-16,22603.996621
All,InterestRate,All,2017-10-02,2017-10-17,27481.964272
All,InterestRate,All,2017-10-03,2017-10-18,20207.315052
All,InterestRate,All,2017-10-04,2017-10-19,-4369.866108
All,InterestRate,All,2017-10-05,2017-10-20,-10300.950913
All,InterestRate,All,2017-10-06,2017-10-23,594.431457
All,InterestRate,All,2017-10-10,2017-10-24,-13570.828828
All,InterestRate,All,2017-10-11,2017-10-25,-3431.547712
All,InterestRate,All,2017-10-12,2017-10-26,1914.112283
All,InterestRate,All,2017-10-13,2017-10-27,-10955.668662
All,InterestRate,All,2017-10-16,2017-10-30,-7343.931739
All,InterestRate,All,2017-10-17,2017-10-31,-20962.208443
All,InterestRate,All,2017-10-18,2017-11-01,-20193.925200
All,InterestRate,All,2017-10-19,2017-11-02,-33467.659640
All,InterestRate,All,2017-10-20,2017-11-03,-41367.512802
All,InterestRate,All,2017-10-23,2017-11-06,-22451.101707
All,InterestRate,All,2017-10-24,2017-11-07,-23555.447438
All,InterestRate,All,2017-10-25,2017-11-08,-34529.227637
All,InterestRate,All,2017-10-26,2017-11-09,-37737.017844
All,InterestRate,All,2017-10-27,2017-11-13,-18484.927895
All,InterestRate,All,2017-10-30,2017-11-14,-43279.507424
