#RiskFactor1,RiskFactor2,Correlation
"DiscountCurve/JPY/7","SurvivalProbability/RED:025ADX|SNRFOR|USD|CR14/3",-0.190227
"DiscountCurve/JPY/7","ZeroInflationCurve/EUHICPXT/4",0.288832
"DiscountCurve/NOK/7","DiscountCurve/SEK/7",0.725448
"DiscountCurve/NOK/7","DiscountCurve/TWD/7",0.083762
"DiscountCurve/NOK/7","DiscountCurve/USD/7",0.735919
"DiscountCurve/NOK/7","IndexCurve/DKK-DKKOIS/7",0.698483
"DiscountCurve/NOK/7","IndexCurve/EUR-EONIA/7",0.724335
"DiscountCurve/NOK/7","IndexCurve/EUR-EURIBOR-3M/7",0.710539
"DiscountCurve/NOK/7","IndexCurve/EUR-EURIBOR-6M/7",0.714750
"DiscountCurve/NOK/7","IndexCurve/SEK-STIBOR-3M/7",0.743553
"DiscountCurve/NOK/7","IndexCurve/USD-FedFunds/7",0.708451
"DiscountCurve/NOK/7","IndexCurve/USD-LIBOR-3M/7",0.715256
"DiscountCurve/NOK/7","OptionletVolatility/EUR-EURIBOR-6M/42",-0.023176
"DiscountCurve/NOK/7","OptionletVolatility/EUR-EURIBOR-6M/43",-0.109638
"DiscountCurve/NOK/7","OptionletVolatility/EUR-EURIBOR-6M/44",-0.139555
"DiscountCurve/NOK/7","OptionletVolatility/EUR-EURIBOR-6M/45",0.014890
"DiscountCurve/NOK/7","OptionletVolatility/EUR-EURIBOR-6M/46",-0.039847
"DiscountCurve/NOK/7","OptionletVolatility/EUR-EURIBOR-6M/47",0.034469
"DiscountCurve/NOK/7","OptionletVolatility/SEK-STIBOR-3M/63",0.042200
"DiscountCurve/NOK/7","OptionletVolatility/SEK-STIBOR-3M/64",0.037433
"DiscountCurve/NOK/7","OptionletVolatility/SEK-STIBOR-3M/65",0.023790
"DiscountCurve/NOK/7","OptionletVolatility/SEK-STIBOR-3M/66",-0.009814
"DiscountCurve/NOK/7","OptionletVolatility/SEK-STIBOR-3M/67",-0.027724
"DiscountCurve/NOK/7","OptionletVolatility/SEK-STIBOR-3M/68",-0.034622
"DiscountCurve/NOK/7","OptionletVolatility/SEK-STIBOR-3M/69",-0.023861
"DiscountCurve/NOK/7","OptionletVolatility/SEK-STIBOR-3M/70",-0.011948
"DiscountCurve/NOK/7","OptionletVolatility/SEK-STIBOR-3M/71",0.006669
"DiscountCurve/NOK/7","FXSpot/DKKEUR/0",-0.164932
"DiscountCurve/NOK/7","FXSpot/JPYEUR/0",-0.417842
"DiscountCurve/NOK/7","FXSpot/NOKEUR/0",0.259456
"DiscountCurve/NOK/7","FXSpot/SEKEUR/0",0.214695
"DiscountCurve/NOK/7","FXSpot/TWDEUR/0",-0.085498
"DiscountCurve/NOK/7","FXSpot/USDEUR/0",-0.161927
"DiscountCurve/NOK/7","FXVolatility/EURUSD/7",-0.347589
"DiscountCurve/NOK/7","FXVolatility/NOKSEK/7",-0.313093
"DiscountCurve/NOK/7","FXVolatility/USDJPY/7",-0.110709
"DiscountCurve/NOK/7","EquitySpot/RIC:.SPX/0",0.248642
"DiscountCurve/NOK/7","EquitySpot/RIC:FISV.OQ/0",0.023384
"DiscountCurve/NOK/7","EquitySpot/RIC:KSS.N/0",0.226194
"DiscountCurve/NOK/7","EquitySpot/RIC:LHAG.DE/0",0.181889
"DiscountCurve/NOK/7","EquityVolatility/RIC:.SPX/7",-0.166846
"DiscountCurve/NOK/7","SurvivalProbability/RED:025ADX|SNRFOR|USD|CR14/3",-0.234418
"DiscountCurve/NOK/7","ZeroInflationCurve/EUHICPXT/4",0.416375
"DiscountCurve/SEK/7","DiscountCurve/TWD/7",0.119908
"DiscountCurve/SEK/7","DiscountCurve/USD/7",0.633725
"DiscountCurve/SEK/7","IndexCurve/DKK-DKKOIS/7",0.786856
"DiscountCurve/SEK/7","IndexCurve/EUR-EONIA/7",0.816361
"DiscountCurve/SEK/7","IndexCurve/EUR-EURIBOR-3M/7",0.792430
"DiscountCurve/SEK/7","IndexCurve/EUR-EURIBOR-6M/7",0.790138
"DiscountCurve/SEK/7","IndexCurve/SEK-STIBOR-3M/7",0.959839
"DiscountCurve/SEK/7","IndexCurve/USD-FedFunds/7",0.617586
"DiscountCurve/SEK/7","IndexCurve/USD-LIBOR-3M/7",0.616491
"DiscountCurve/SEK/7","OptionletVolatility/EUR-EURIBOR-6M/42",-0.048469
"DiscountCurve/SEK/7","OptionletVolatility/EUR-EURIBOR-6M/43",-0.118972
"DiscountCurve/SEK/7","OptionletVolatility/EUR-EURIBOR-6M/44",-0.119966
"DiscountCurve/SEK/7","OptionletVolatility/EUR-EURIBOR-6M/45",0.044366
"DiscountCurve/SEK/7","OptionletVolatility/EUR-EURIBOR-6M/46",-0.076037
"DiscountCurve/SEK/7","OptionletVolatility/EUR-EURIBOR-6M/47",0.030217
"DiscountCurve/SEK/7","OptionletVolatility/SEK-STIBOR-3M/63",0.139881
"DiscountCurve/SEK/7","OptionletVolatility/SEK-STIBOR-3M/64",0.142503
"DiscountCurve/SEK/7","OptionletVolatility/SEK-STIBOR-3M/65",0.123005
"DiscountCurve/SEK/7","OptionletVolatility/SEK-STIBOR-3M/66",0.061987
"DiscountCurve/SEK/7","OptionletVolatility/SEK-STIBOR-3M/67",0.002766
"DiscountCurve/SEK/7","OptionletVolatility/SEK-STIBOR-3M/68",-0.040148
"DiscountCurve/SEK/7","OptionletVolatility/SEK-STIBOR-3M/69",-0.057771
"DiscountCurve/SEK/7","OptionletVolatility/SEK-STIBOR-3M/70",-0.070262
"DiscountCurve/SEK/7","OptionletVolatility/SEK-STIBOR-3M/71",-0.079212
"DiscountCurve/SEK/7","FXSpot/DKKEUR/0",-0.131054
"DiscountCurve/SEK/7","FXSpot/JPYEUR/0",-0.575654
"DiscountCurve/SEK/7","FXSpot/NOKEUR/0",0.064417
"DiscountCurve/SEK/7","FXSpot/SEKEUR/0",0.392100
"DiscountCurve/SEK/7","FXSpot/TWDEUR/0",-0.237467
"DiscountCurve/SEK/7","FXSpot/USDEUR/0",-0.320397
"DiscountCurve/SEK/7","FXVolatility/EURUSD/7",-0.293240
"DiscountCurve/SEK/7","FXVolatility/NOKSEK/7",-0.182707
"DiscountCurve/SEK/7","FXVolatility/USDJPY/7",-0.107396
"DiscountCurve/SEK/7","EquitySpot/RIC:.SPX/0",0.127439
"DiscountCurve/SEK/7","EquitySpot/RIC:FISV.OQ/0",-0.067365
"DiscountCurve/SEK/7","EquitySpot/RIC:KSS.N/0",0.133299
"DiscountCurve/SEK/7","EquitySpot/RIC:LHAG.DE/0",0.212388
"DiscountCurve/SEK/7","EquityVolatility/RIC:.SPX/7",-0.128077
"DiscountCurve/SEK/7","SurvivalProbability/RED:025ADX|SNRFOR|USD|CR14/3",-0.096661
"DiscountCurve/SEK/7","ZeroInflationCurve/EUHICPXT/4",0.429900
"DiscountCurve/TWD/7","DiscountCurve/USD/7",0.027083
"DiscountCurve/TWD/7","IndexCurve/DKK-DKKOIS/7",0.077257
"DiscountCurve/TWD/7","IndexCurve/EUR-EONIA/7",0.046223
"DiscountCurve/TWD/7","IndexCurve/EUR-EURIBOR-3M/7",0.036188
"DiscountCurve/TWD/7","IndexCurve/EUR-EURIBOR-6M/7",0.032497
"DiscountCurve/TWD/7","IndexCurve/SEK-STIBOR-3M/7",0.099132
"DiscountCurve/TWD/7","IndexCurve/USD-FedFunds/7",-0.002520
"DiscountCurve/TWD/7","IndexCurve/USD-LIBOR-3M/7",-0.009336
"DiscountCurve/TWD/7","OptionletVolatility/EUR-EURIBOR-6M/42",-0.102946
"DiscountCurve/TWD/7","OptionletVolatility/EUR-EURIBOR-6M/43",-0.162670
"DiscountCurve/TWD/7","OptionletVolatility/EUR-EURIBOR-6M/44",-0.177154
"DiscountCurve/TWD/7","OptionletVolatility/EUR-EURIBOR-6M/45",-0.072201
"DiscountCurve/TWD/7","OptionletVolatility/EUR-EURIBOR-6M/46",-0.058764
"DiscountCurve/TWD/7","OptionletVolatility/EUR-EURIBOR-6M/47",-0.061559
"DiscountCurve/TWD/7","OptionletVolatility/SEK-STIBOR-3M/63",-0.101475
"DiscountCurve/TWD/7","OptionletVolatility/SEK-STIBOR-3M/64",-0.112273
"DiscountCurve/TWD/7","OptionletVolatility/SEK-STIBOR-3M/65",-0.127002
"DiscountCurve/TWD/7","OptionletVolatility/SEK-STIBOR-3M/66",-0.165091
"DiscountCurve/TWD/7","OptionletVolatility/SEK-STIBOR-3M/67",-0.185608
"DiscountCurve/TWD/7","OptionletVolatility/SEK-STIBOR-3M/68",-0.177373
"DiscountCurve/TWD/7","OptionletVolatility/SEK-STIBOR-3M/69",-0.167507
"DiscountCurve/TWD/7","OptionletVolatility/SEK-STIBOR-3M/70",-0.151000
"DiscountCurve/TWD/7","OptionletVolatility/SEK-STIBOR-3M/71",-0.117796
"DiscountCurve/TWD/7","FXSpot/DKKEUR/0",-0.033214
"DiscountCurve/TWD/7","FXSpot/JPYEUR/0",-0.063515
"DiscountCurve/TWD/7","FXSpot/NOKEUR/0",0.031915
"DiscountCurve/TWD/7","FXSpot/SEKEUR/0",0.057916
"DiscountCurve/TWD/7","FXSpot/TWDEUR/0",0.007622
"DiscountCurve/TWD/7","FXSpot/USDEUR/0",0.018459
"DiscountCurve/TWD/7","FXVolatility/EURUSD/7",0.037768
"DiscountCurve/TWD/7","FXVolatility/NOKSEK/7",0.102829
"DiscountCurve/TWD/7","FXVolatility/USDJPY/7",-0.016596
"DiscountCurve/TWD/7","EquitySpot/RIC:.SPX/0",-0.007422
"DiscountCurve/TWD/7","EquitySpot/RIC:FISV.OQ/0",-0.107077
"DiscountCurve/TWD/7","EquitySpot/RIC:KSS.N/0",0.018269
"DiscountCurve/TWD/7","EquitySpot/RIC:LHAG.DE/0",-0.067234
