#Key,Factor,BaseValue,ShiftSize
IndexCurve/GBP-LIBOR-6M/7,IndexCurve/GBP-LIBOR-6M/7/3Y,0.00866852,0.00010000
IndexCurve/GBP-LIBOR-6M/8,IndexCurve/GBP-LIBOR-6M/8/4Y,0.00930850,0.00010000
IndexCurve/GBP-LIBOR-6M/9,IndexCurve/GBP-LIBOR-6M/9/5Y,0.01001204,0.00010000
IndexCurve/GBP-LIBOR-6M/10,IndexCurve/GBP-LIBOR-6M/10/7Y,0.01198507,0.00010000
IndexCurve/GBP-LIBOR-6M/11,IndexCurve/GBP-LIBOR-6M/11/10Y,0.01458119,0.00010000
IndexCurve/GBP-LIBOR-6M/12,IndexCurve/GBP-LIBOR-6M/12/15Y,0.01653995,0.00010000
IndexCurve/GBP-LIBOR-6M/13,IndexCurve/GBP-LIBOR-6M/13/20Y,0.01718722,0.00010000
IndexCurve/GBP-LIBOR-6M/14,IndexCurve/GBP-LIBOR-6M/14/25Y,0.01692207,0.00010000
IndexCurve/GBP-LIBOR-6M/15,IndexCurve/GBP-LIBOR-6M/15/30Y,0.01698584,0.00010000
IndexCurve/GBP-SONIA/0,IndexCurve/GBP-SONIA/0/2W,0.00567538,0.00010000
IndexCurve/GBP-SONIA/1,IndexCurve/GBP-SONIA/1/1M,0.00572761,0.00010000
IndexCurve/GBP-SONIA/2,IndexCurve/GBP-SONIA/2/3M,0.00565905,0.00010000
IndexCurve/GBP-SONIA/3,IndexCurve/GBP-SONIA/3/6M,0.00544361,0.00010000
IndexCurve/GBP-SONIA/4,IndexCurve/GBP-SONIA/4/9M,0.00522666,0.00010000
IndexCurve/GBP-SONIA/5,IndexCurve/GBP-SONIA/5/1Y,0.00491384,0.00010000
IndexCurve/GBP-SONIA/6,IndexCurve/GBP-SONIA/6/2Y,0.00465552,0.00010000
IndexCurve/GBP-SONIA/7,IndexCurve/GBP-SONIA/7/3Y,0.00497075,0.00010000
IndexCurve/GBP-SONIA/8,IndexCurve/GBP-SONIA/8/4Y,0.00540081,0.00010000
IndexCurve/GBP-SONIA/9,IndexCurve/GBP-SONIA/9/5Y,0.00617452,0.00010000
IndexCurve/GBP-SONIA/10,IndexCurve/GBP-SONIA/10/7Y,0.00803837,0.00010000
IndexCurve/GBP-SONIA/11,IndexCurve/GBP-SONIA/11/10Y,0.01065155,0.00010000
IndexCurve/GBP-SONIA/12,IndexCurve/GBP-SONIA/12/15Y,0.01337141,0.00010000
IndexCurve/GBP-SONIA/13,IndexCurve/GBP-SONIA/13/20Y,0.01428799,0.00010000
IndexCurve/GBP-SONIA/14,IndexCurve/GBP-SONIA/14/25Y,0.01462375,0.00010000
IndexCurve/GBP-SONIA/15,IndexCurve/GBP-SONIA/15/30Y,0.01463873,0.00010000
IndexCurve/USD-FedFunds/0,IndexCurve/USD-FedFunds/0/2W,0.00452404,0.00010000
IndexCurve/USD-FedFunds/1,IndexCurve/USD-FedFunds/1/1M,0.00452133,0.00010000
IndexCurve/USD-FedFunds/2,IndexCurve/USD-FedFunds/2/3M,0.00488930,0.00010000
IndexCurve/USD-FedFunds/3,IndexCurve/USD-FedFunds/3/6M,0.00527728,0.00010000
IndexCurve/USD-FedFunds/4,IndexCurve/USD-FedFunds/4/9M,0.00551760,0.00010000
